"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu1480","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1481","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1482","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1483","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1484","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1485","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1486","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1487","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1488","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1489","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","g__Alistipes_unclassified"
"Otu1490","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1491","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1492","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
